,Reviews,Date,Names,Tittles
911,"
Great app which works well on my iPad, but the Kindle Fire HD version crashes CONSTANTLY.
","January 3, 2015",mrslurky,Libby by Overdrive is a necessary app on Amazon Fire Tablets
912,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Prefer OneClickDigital
"
913,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Terrible website
"
914,"
I love to listen to audio library books on my cell phone (a fantastic discovery!), but this program is much more cumbersome to figure out and use than OneClickDigital.  However, it does have far more titles available.  I wish my library would just switch everything over to OneClickDigital.
","September 10, 2016",Audrey,"
Three Stars
"
915,"
Website not user friendly. Too much clutter and too little clear direction.
","July 3, 2016",wanda,"
No way to use without Amazon?  Booooo!
"
916,"
Ok but Redbooks id much better.
","March 30, 2017",John Kilpatrick,"
Three Stars
"
917,"
I'd like to read books that Amazon doesn't track.  Doesn't appear there is a way to do that on my tablet.Somehow, I was able to checkout a book, but the only choice for reading it is ""Kindle"" - momentarily, there is a ""Download PDF"" option, but I've been unable to get that working on  the tablet.  Now I have a book checked out, but no way to read it or return it.Fine --- I'll just login from my Linux desktop and get it that way.  After all, it is the same account.  Nope.  The book is checked out on the tablet and there is only 1 copy.  Which I can't return, so I can't check it out in the browser.  Assuming that would even work.Overdrive constantly makes me re-re-re-login. Looks like an engineer created this, nobody with UI design would.  I say that as an engineer, BTW.
","March 14, 2018",TunaMan,"
Three Stars
"
918,"
I really enjoy the ability to rent books from the library on overdrive.
","June 18, 2016",john,"
WHAT A MESS!
"
919,"
Very convenient, but I'd rather read then hear someone read to me.  Sometimes I can't understand them.
","June 19, 2016",AnaK,"
Three Stars
"
920,"
WORST revision ever on any app I have ever used! Please, for God sakes change it back!I like looking at my audio book narrator contributions on the front of the book thumbnail. The format gives limited information.Then to add insult to injury, the update erased all of the sign in information on all of my libraries. So I have to redo all of my devices for SEVEN libraries! I wish there was a negative 5 star rating.The people who sabotaged this app should be fired!!!
","December 7, 2016",Warren,"
Might as well go to the library and to get disappointed for the book checked out, but online.
"
921,"
works well
","September 7, 2016",Mitchell Mcallister,"
Unable to use title downloaded on one device with another
"
922,"
Too confusing, each time I logged on, had to go through every step to establish which library and remember my card number.  When got done with all that, then any book was unavailable. Got tired to painfully looking for a book, which usually are not the popular ones and find out not available.  I gave up.  No longer use the website.  Guess had bigger expectation than they can deliver.  I thought being on online, I could access ANY reading material at anytime.  It was like going to the library and find the book check out, only online. I live in rural town, rural library and you can not tell me any book I wanted to read was not available.  Not worth it.
","May 13, 2018",Kindle fire user,Does not work on Kindle fire
923,"
Having trouble synchronizing with the version on my playbook. There seems to be a different I'D, yet I used the same email address.
","May 11, 2015",Beverley,Libby by Overdrive is a necessary app on Amazon Fire Tablets
924,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Two Stars
"
925,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Three Stars
"
